,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zeile: 13-Gramm aus dem Beispieltext
Spalte: 13-Gramme aus Wikipedia
","Grundsätzlich ist künstliche Intelligenz der Versuch, menschenähnliche Entscheidungsstrukturen in einem ungewissen Umfeld zu","ist künstliche Intelligenz der Versuch, menschenähnliche Entscheidungsstrukturen in einem ungewissen Umfeld zu modellieren","künstliche Intelligenz der Versuch, menschenähnliche Entscheidungsstrukturen in einem ungewissen Umfeld zu modellieren. Daher","Intelligenz der Versuch, menschenähnliche Entscheidungsstrukturen in einem ungewissen Umfeld zu modellieren. Daher einen","der Versuch, menschenähnliche Entscheidungsstrukturen in einem ungewissen Umfeld zu modellieren. Daher einen Computer","Versuch, menschenähnliche Entscheidungsstrukturen in einem ungewissen Umfeld zu modellieren. Daher einen Computer so",menschenähnliche Entscheidungsstrukturen in einem ungewissen Umfeld zu modellieren. Daher einen Computer so zu,Entscheidungsstrukturen in einem ungewissen Umfeld zu modellieren. Daher einen Computer so zu programmieren,"in einem ungewissen Umfeld zu modellieren. Daher einen Computer so zu programmieren, dass","einem ungewissen Umfeld zu modellieren. Daher einen Computer so zu programmieren, dass er ","ungewissen Umfeld zu modellieren. Daher einen Computer so zu programmieren, dass er selbständig","Umfeld zu modellieren. Daher einen Computer so zu programmieren, dass er selbständig Probleme","zu modellieren. Daher einen Computer so zu programmieren, dass er selbständig Probleme lösen","modellieren. Daher einen Computer so zu programmieren, dass er selbständig Probleme lösen kann","Daher einen Computer so zu programmieren, dass er selbständig Probleme lösen kann. Häufig","einen Computer so zu programmieren, dass er selbständig Probleme lösen kann. Häufig wird","Computer so zu programmieren, dass er selbständig Probleme lösen kann. Häufig wird jedoch","so zu programmieren, dass er selbständig Probleme lösen kann. Häufig wird jedoch auch","zu programmieren, dass er selbständig Probleme lösen kann. Häufig wird jedoch auch eine","programmieren, dass er selbständig Probleme lösen kann. Häufig wird jedoch auch eine nachgeahmte",dass er selbständig Probleme lösen kann. Häufig wird jedoch auch eine nachgeahmte Intelligenz,er selbständig Probleme lösen kann. Häufig wird jedoch auch eine nachgeahmte Intelligenz gemeint,"selbständig Probleme lösen kann. Häufig wird jedoch auch eine nachgeahmte Intelligenz gemeint, wobei","Probleme lösen kann. Häufig wird jedoch auch eine nachgeahmte Intelligenz gemeint, wobei einfache","lösen kann. Häufig wird jedoch auch eine nachgeahmte Intelligenz gemeint, wobei einfache Algorithmen","kann. Häufig wird jedoch auch eine nachgeahmte Intelligenz gemeint, wobei einfache Algorithmen „intelligentes","Häufig wird jedoch auch eine nachgeahmte Intelligenz gemeint, wobei einfache Algorithmen „intelligentes Verhalten","wird jedoch auch eine nachgeahmte Intelligenz gemeint, wobei einfache Algorithmen „intelligentes Verhalten“ simulieren","jedoch auch eine nachgeahmte Intelligenz gemeint, wobei einfache Algorithmen „intelligentes Verhalten“ simulieren.
In","auch eine nachgeahmte Intelligenz gemeint, wobei einfache Algorithmen „intelligentes Verhalten“ simulieren. In der","eine nachgeahmte Intelligenz gemeint, wobei einfache Algorithmen „intelligentes Verhalten“ simulieren. In der Projektgruppe","nachgeahmte Intelligenz gemeint, wobei einfache Algorithmen „intelligentes Verhalten“ simulieren. In der Projektgruppe KIMAS","Intelligenz gemeint, wobei einfache Algorithmen „intelligentes Verhalten“ simulieren.
In der Projektgruppe KIMAS (Künstliche","gemeint, wobei einfache Algorithmen „intelligentes Verhalten“ simulieren.
In der Projektgruppe KIMAS (Künstliche Intelligenz","wobei einfache Algorithmen „intelligentes Verhalten“ simulieren.
In der Projektgruppe KIMAS (Künstliche Intelligenz in ",einfache Algorithmen „intelligentes Verhalten“ simulieren.In der Projektgruppe KIMAS (Künstliche Intelligenz in Multi,Algorithmen „intelligentes Verhalten“ simulieren.In der Projektgruppe KIMAS (Künstliche Intelligenz in Multi-Agenten,„intelligentes Verhalten“ simulieren. In der Projektgruppe KIMAS (Künstliche Intelligenz in Multi-Agenten-Systemen)
"Im Allgemeinen bezeichnet künstliche Intelligenz den Versuch, menschenähnliche Entscheidungsstrukturen in einem nicht eindeutigen",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allgemeinen bezeichnet künstliche Intelligenz den Versuch, menschenähnliche Entscheidungsstrukturen in einem nicht eindeutigen Umfeld",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bezeichnet künstliche Intelligenz den Versuch, menschenähnliche Entscheidungsstrukturen in einem nicht eindeutigen Umfeld nachzubilden",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"künstliche Intelligenz den Versuch, menschenähnliche Entscheidungsstrukturen in einem nicht eindeutigen Umfeld nachzubilden, d.",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intelligenz den Versuch, menschenähnliche Entscheidungsstrukturen in einem nicht eindeutigen Umfeld nachzubilden, d. h.,",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" den Versuch, menschenähnliche Entscheidungsstrukturen in einem nicht eindeutigen Umfeld nachzubilden, d. h., einen",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Versuch, menschenähnliche Entscheidungsstrukturen in einem nicht eindeutigen Umfeld nachzubilden, d. h., einen Computer",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"menschenähnliche Entscheidungsstrukturen in einem nicht eindeutigen Umfeld nachzubilden, d. h., einen Computer so",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entscheidungsstrukturen in einem nicht eindeutigen Umfeld nachzubilden, d. h., einen Computer so zu",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"in einem nicht eindeutigen Umfeld nachzubilden, d. h., einen Computer so zu bauen",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"einem nicht eindeutigen Umfeld nachzubilden, d. h., einen Computer so zu bauen oder ",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nicht eindeutigen Umfeld nachzubilden, d. h., einen Computer so zu bauen oder zu",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eindeutigen Umfeld nachzubilden, d. h., einen Computer so zu bauen oder zu programmieren",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Umfeld nachzubilden, d. h., einen Computer so zu bauen oder zu programmieren, dass",0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nachzubilden, d. h., einen Computer so zu bauen oder zu programmieren, dass er",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d. h., einen Computer so zu bauen oder zu programmieren, dass er eigenständig",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h., einen Computer so zu bauen oder zu programmieren, dass er eigenständig Probleme",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"einen Computer so zu bauen oder zu programmieren, dass er eigenständig Probleme bearbeiten",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Computer  so zu bauen oder zu programmieren, dass er eigenständig Probleme bearbeiten kann",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"so zu bauen oder zu programmieren, dass er eigenständig Probleme bearbeiten kann. Oftmals ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zu bauen oder zu programmieren, dass er eigenständig Probleme bearbeiten kann. Oftmals wird",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bauen oder zu programmieren, dass er eigenständig Probleme bearbeiten kann. Oftmals wird damit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oder zu programmieren, dass er eigenständig Probleme bearbeiten kann. Oftmals wird damit aber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zu programmieren, dass er eigenständig Probleme bearbeiten kann. Oftmals wird damit aber auch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"programmieren, dass er eigenständig Probleme bearbeiten kann. Oftmals wird damit aber auch eine ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dass er eigenständig Probleme bearbeiten kann. Oftmals wird damit aber auch eine nachgeahmte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
er eigenständig Probleme bearbeiten kann. Oftmals wird damit aber auch eine nachgeahmte Intelligenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
eigenständig Probleme bearbeiten kann. Oftmals wird damit aber auch eine nachgeahmte Intelligenz bezeichne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Probleme bearbeiten kann. Oftmals wird damit aber auch eine nachgeahmte Intelligenz bezeichnet, wobei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"bearbeiten kann. Oftmals wird damit aber auch eine nachgeahmte Intelligenz bezeichnet, wobei durch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"kann. Oftmals wird damit aber auch eine nachgeahmte Intelligenz bezeichnet, wobei durch meist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"Oftmals wird damit aber auch eine nachgeahmte Intelligenz bezeichnet, wobei durch meist einfache",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"wird damit aber auch eine nachgeahmte Intelligenz bezeichnet, wobei durch meist einfache Algorithmen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"damit aber auch eine nachgeahmte Intelligenz bezeichnet, wobei durch meist einfache Algorithmen ein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"aber auch eine nachgeahmte Intelligenz bezeichnet, wobei durch meist einfache Algorithmen ein „intelligentes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"auch eine nachgeahmte Intelligenz bezeichnet, wobei durch meist einfache Algorithmen ein „intelligentes Verhalten“",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"eine nachgeahmte Intelligenz bezeichnet, wobei durch meist einfache Algorithmen ein „intelligentes Verhalten“ simuliert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"nachgeahmte Intelligenz bezeichnet, wobei durch meist einfache Algorithmen ein „intelligentes Verhalten“ simuliert werden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Intelligenz bezeichnet, wobei durch meist einfache Algorithmen ein „intelligentes Verhalten“ simuliert werden soll",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"bezeichnet, wobei durch meist einfache Algorithmen ein „intelligentes Verhalten“ simuliert werden soll, etwa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"wobei durch meist einfache Algorithmen ein „intelligentes Verhalten“ simuliert werden soll, etwa bei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"durch meist einfache Algorithmen ein „intelligentes Verhalten“ simuliert werden soll, etwa bei Computerspielen.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1